Sentence #,Word,Pos
Sentence: 0,পূৰ্ব্বতে,ADJ
,এই,PR
,সংসাৰ-মণ্ডলত,N
,একোৱেই,ADV
,নাছিল,V
,।,।
Sentence: 1,এই,PR
,জগতৰ,N
,ভোজনেচ্ছা-ৰূপ,ADJ
,মৃত্যুৰ,N
,দ্বাৰা,PREP
,আবৃত,N
,আছিল,V
,।,।
Sentence: 2,কাৰণ,CON
,বুভুক্ষাই,N
,মৃত্যু,N
,চৰিত্ৰসমূহ,ADJ
,কমল,N
,কাব্যপ্ৰেমী,N
,ৰোমাণ্টিক,ADJ
,নলিনী,N
,ব্যৱসায়ী,N
,।,।
Sentence: 3,ধীৰেন,N
,বিপ্লৱী,ADJ
,যুৱক,N
,।,।
Sentence: 4,নবীন,N
,অভ্যষ্ট,ADJ
,সুৰাপায়ী,N
,নাৰী,N
,একাধাৰে,N
,প্ৰেয়সী,N
,অণিমা,N
,পত্নী,N
,নীলিমা,N
,ধীৰেনৰ,N
,মাক,N
,আৰু,CON
,গণিকা,N
,গণিকা,N
,নাটকৰ,N
,দৃশ্যপট,ADJ
,গুৱাহাটীৰ,N
,নৰ্থ ব্ৰুক,N
,তোৰণ,N
,।,।
Sentence: 5,সেই,PR
,তোৰণৰ,N
,আৰ্হিত,N
,মঞ্চত,N
,দৃশ্যসজ্জা,ADJ
,কৰি,V
,লʼব,V
,পাৰি,V
,।,।
Sentence: 6,গুৱাহাটীৰ,N
,শুক্লেশ্বৰ,N
,ঘাটৰ,N
,নৰ্থ,N
,ব্ৰুক,N
,গেটৰ,N
,পাঁচটা,ADJ
,তোৰণৰ,N
,তলত,PREP
,বিভিন্ন,ADJ
,উচ্চতাৰে,ADJ
,পশ্চিমৰপৰা,N
,ক্ৰমে,ADV
,প্ৰথম,ADJ
,",",","
,দ্বিতীয়,ADJ
,",",","
,মধ্যম,ADJ
,",",","
,আৰু,CON
,চতুৰ্থ,ADJ
,এই,PR
,পাঁচখন,ADJ
,প্লেটফৰ্ম,N
,মঞ্চৰূপে,N
,ব্যৱহাৰ,N
,কৰা,V
,হৈছে,V
Sentence: 7,তাৰ,PR
,উপৰি,CON
,প্ৰত্যেকখন,ADJ
,প্লেটফৰ্মৰপৰা,N
,তোৰণৰ,N
,ভিতৰলৈ,PREP
,নামি,V
,যাব,V
,পৰা,PREP
,খট্‌খটি,N
,আছে,V
Sentence: 8,নাটক,N
,আৰম্ভ,N
,হোৱাৰ,V
,পাঁচ-দহ,ADJ
,মিনিট,N
,আগতে,PREP
,দৰ্শকৰ,N
,মাজত,PREP
,নাট্যদলৰ,N
,কেইডজনমান,PR
,লʼৰা-ছোৱালী,N
,বিভিন্ন,ADJ
,ঠাইত,N
,বহি,V
,পৰে,V
,আৰু,CON
,নিজৰ নিজৰ,ADV
,কাষৰ,N
,দৰ্শকক,N
,অতি,ADJ
,স্বাভাৱিকভাৱে,ADV
,এই,PR
,খবৰটো,N
,দিয়ে,V
,কালি,PR
,ৰাতি,N
,মেডিকেল,N
,কলেজৰ,N
,মৰ্গৰপৰা,N
,আচল,N
,অভিনয়,N
,আৰম্ভ,N
,হোৱাৰ,V
,আগে আগে,ADV
,মুঠতে,ADV
,দৰ্শকৰ,N
,মাজত,PREP
,মেডিকেল,N
,কলেজৰ,N
,মৰ্গৰপৰা,N
,এজনী,ADJ
,তিৰোতা,N
,মানুহৰ,N
,মৰা,ADJ
,শ,N
,নোহোৱা,V
,হোৱা,V
,খবৰ,N
,এটা,ADJ
,যিমান,ADV
,পাৰি,V
,প্ৰচাৰ,N
,হৈ,V
,পৰিব,V
,লাগে,V
,।,।
Sentence: 9,দৰ্শকৰ,N
,মাজত,PREP
,কিবাকিবি,PR
,খাই,V
,থকা,V
,অৱস্থা,N
,আৰু,CON
,মৰা,ADJ
,শৰ,N
,খবৰটো,N
,অৱলীলাক্ৰমে,ADV
,প্ৰচাৰ,N
,হৈ,V
,পৰাৰ,PREP
,পিছত,ADJ
,নাটক,N
,আৰম্ভ,N
,হয়,V
,।,।
Sentence: 10,প্ৰথমে,ADV
,নবীন,N
,প্ৰথম,ADJ
,মঞ্চলৈ,N
,ভিতৰৰপৰা,N
,কিবা,ADJ
,এটা,ADJ
,খাই খাই,ADV
,উঠি,V
,আহে,V
,দ্বিতীয়,ADJ
,মঞ্চ,N
,অতিক্ৰম,N
,কৰি,V
,মধ্যম,ADJ
,মঞ্চলৈ,N
,আহে,V
,মধ্যম,ADJ
,মঞ্চৰ,N
,ভিতৰৰ,N
,পিনে,ADV
,তললৈ,ADJ
,কিবা,ADJ
,এটা,ADJ
,গভীৰভাৱে,ADJ
,অলপ,ADJ
,সময়,N
,চাই,V
,মঞ্চৰ,N
,সমুখলৈ,ADV
,আহে,V
,",",","
,মুখত,N
,সামান্য,ADJ
,বিকৃত,ADJ
,ভাব,N
,প্ৰকাশ,ADJ
,হয়,V
,।,।
Sentence: 11,আগুৱাই,V
,আহি,V
,বহেহি,V
,",",","
,আৰু,CON
,কান্ধৰপৰা,N
,এটা,ADJ
,মোনাত,N
,থকা,V
,কিবাকিবি,PR
,বস্তুৰ,N
,মাজৰপৰা,PREP
,এটা,ADJ
,ডাঙৰ,ADJ
,চিলিম,N
,উলিয়াই,V
,তাত,PR
,ভাং,N
,সংযোগ,N
,কৰাৰ,V
,ব্যৱস্থা,V
,কৰে,V
,।,।
Sentence: 12,তেনেতে,ADV
,তৃতীয়,ADJ
,মঞ্চত,N
,নলিনীয়ে,N
,দেখা,N
,দিয়ে,N
Sentence: 13,নলিনীৰ,N
,হাতত,N
,এটা,ADJ
,কʼলা,ADJ
,বিজনেছ,N
,বেগ,N
,।,।
Sentence: 14,তেওঁ,PR
,মধ্যম,ADJ
,মঞ্চলৈ,N
,আহি,V
,নবীনৰ,N
,দৰে,ADV
,মঞ্চৰ,N
,ভিতৰলৈ,PREP
,",",","
,তললৈ,ADJ
,কিবা,ADJ
,চায়,V
,আৰু,CON
,দৰ্শকৰ,N
,পিনে,ADV
,আগুৱাই,V
,আহি,V
,কিবা,ADJ
,এটা,ADJ
,ঘৃণা,N
,ভাবত,N
,থুই,N
,পেলায়,V
,।,।
Sentence: 15,মঞ্চৰ,N
,একাষত,ADJ
,বহি,V
,চামৰাৰ,N
,বেগৰপৰা,N
,কিছুমান,ADJ
,কাগজ-পত্ৰ,N
,উলিয়াই,V
,পঢ়িবলৈ,V
,ধৰে,V
,।,।
Sentence: 16,তাৰ,PR
,পিছত,ADJ
,দ্বিতীয়,ADJ
,মঞ্চৰ,N
,ভিতৰৰ,N
,পৰা,PREP
,উঠি,V
,আহি,V
,থিয়,ADJ
,হয়,V
,কমল,N
,।,।
Sentence: 17,কিবা,ADJ
,খাই খাই,ADV
,উঠি,V
,আহে,V
,",",","
,হাতত,N
,",",","
,দুখনমান,ADJ
,গ্ৰন্থ,N
,।,।
,তেৱোঁ,PR
,মধ্যম,ADJ
,মঞ্চলৈ,N
,আহি,V
,ভিতৰৰ,N
,পিনে,ADV
,তললৈ,ADJ
,চায়,V
,আৰু,CON
,বিতৃষ্ণাৰ,N
,ভাবেৰে,N
,",",","
,ওকালি,N
,অহাৰ,V
,নিচিনা,ADJ
,দৰ্শকৰ,N
,পিনে,ADV
,আগুৱাই,V
,আহে,V
,নবীন,N
,আৰু,CON
,নলিনীৰ,N
,পাছতে,N
,একাষত,ADJ
,বহে,V
,আৰু,CON
,গ্ৰন্থ,N
,মেলি,V
,লয়,V
,।,।
Sentence: 18,তাৰ,PR
,কমল,N
,:,:
,ধীৰেনে,N
,বমি,N
,কৰাৰ,V
,শব্দ,N
,শুনি,N
,পিছলৈ,ADJ
,ঘূৰি,V
,নোচোৱাকৈয়ে,V
,গ্ৰন্থৰ,N
,পৰা,PREP
,মূৰ,N
,দাঙি,V
,সেইটোৱে,PR
,বতিয়াইছে,V
,।,।
Sentence: 19,নবীন,N
,:,:
,হাতত,N
,চিলিমটো,N
,লৈ,V
,থিয়,ADJ
,হয়,N
,নবতিয়াব,V
,!,!
Sentence: 20,চিলিমত,N
,টান,V
,মাৰে,V
,ব্যোম ব্যোম,ADV
,",",","
,যি,PR
,দুৰ্গন্ধ,ADJ
,উঠিছে,V
,নলিনী,N
,ওৱাক,N
,নবীন,N
,তোৰো,PR
,নেকি,CON
,নলিনী,N
,?,?
Sentence: 21,নলিনী,N
,যি,PR
,দুৰ্গন্ধ,ADJ
,উঠিছে,V
,",",","
,আমি,PR
,এতিয়া,ADV
,ধৰা,V
,নপৰিলেই,V
,হʼল,V
,!,!
Sentence: 22,অমল,N
,:,:
,আগেয়ে,ADJ
,এই,PR
,পাৰ্কত,N
,বেঞ্চ-তেঞ্চ,N
,নাছিল,V
,ভাল,ADJ
,আছিল,V
Sentence: 23,মানুহ-দুনুহ,N
,কম,ADJ
,আছিল,V
Sentence: 24,আজিকালি,PR
,পাৰ্কখনত,N
,বতাহ,N
,খোৱা,V
,মানুহৰ,N
,প্ৰকোপ,N
,চৰিল,V
Sentence: 25,মৰক,ADJ
,দে,V
,কিছুমান,PR
,এই,PR
,দূষিত,ADJ
,দূষিত,ADJ
,বতাহ,N
,খায়,V
Sentence: 26,মুখৰ,N
,বমি,N
,হাতেৰেই,N
,মচি,ADV
,আগলৈ,N
,আহে,V
,।,।
Sentence: 27,থুই,N
,পেলায়,V
,আৰু,CON
,কয়,V
,থুহ্‌,N
,টেঙা,ADJ
,ধীৰেন,N
,।,।
Sentence: 28,বাৰু,CON
,কমল,N
,কমলক,N
,উদ্দেশ্য,N
,কৰি,V
,তই,PR
,ভাৰী,N
,সাহিত্যিক,ADJ
,নহয়,V
,",",","
,এই,PR
,গোন্ধটোৰ,N
,এটা,ADJ
,তুলনা,N
,দেচোন,V
,।,।
Sentence: 29,মৰাশৰ,N
,আকৌ,ADV
,কিহৰ,PR
,তুলনা,N
,হয়,V
,?,?
Sentence: 30,ওহোঁ,CON
,কৰিছ,V
,",",","
,এইটো,PR
,জানো,V
,মৰাশৰ,N
,গোন্ধ,ADJ
Sentence: 31,নলিনী,N
,আৰু,CON
,কিহৰ,PR
,নবীন,N
,ভালকৈ,ADJ
,শুঙি,N
,চাচোন,V
Sentence: 32,এটাইকেটাই,PR
,ঘূৰি,ADV
,চাৰিওপিনৰ,ADV
,বতাহ,N
,শুঙে,V
,নবীন,N
,:,:
,কিছুপৰৰ,ADJ
,পাছত,N
,কিবা,ADJ
,পাইছনে,V
Sentence: 33,পাইছোঁ,V
,শুঙি-থাকে,V
,।,।
Sentence: 34,বুজা,V
,নাই,V
,শুঙি-চায়,V
,নবীন,N
,:,:
Sentence: 35,ডাষ্টবিনৰ,N
,পচা,V
,জাবৰৰ,N
,গোন্ধ,ADJ
,?,?
Sentence: 36,জানো,CON
,নবীন,N
Sentence: 37,ফ্ল্যাচ,N
,নোহোৱা,V
,লেট্ৰিনৰ,N
,গোন্ধ,ADJ
Sentence: 38,বেশ্যাৰ,N
,যৌন,ADJ
,ৰোগগ্ৰস্ত,ADJ
,গলিত,ADJ
,যোনিগহ্বৰৰ,N
,গোন্ধ,ADJ
,?,?
Sentence: 39,আৰু,CON
,জোৰে,ADV
,শুঙে,V
,নবীন,N
,শগুন,N
,আৰু,CON
,শিয়ালে,N
,টনা-আঁজোৰা,N
,কৰি,V
,থকা,V
,মৰা,V
,পচিবলৈ,V
,ধৰা,V
,জন্তুৰ,N
,গোন্ধ,ADJ
,!,!
Sentence: 40,তিনিজনে,ADJ
,খুব,ADJ
,দীঘলীয়াকৈ,ADJ
,এবাৰ,ADV
,শুঙি,V
,হঠাৎ,ADV
,ৰৈ,V
,যায়,V
,।,।
Sentence: 41,এই,PR
,এটাইবোৰ,ADJ
,গোন্ধৰ,ADJ
,সংমিশ্ৰণ,N
,নবীন,N
,।,।
Sentence: 42,কমল,N
,",",","
,নলিনী,N
,আৰু,CON
,ধীৰেন,N
,আমি,PR
,এটাইবোৰ,ADJ
,দুৰ্গন্ধৰ,ADJ
,সংমিশ্ৰণ,N
,।,।
Sentence: 43,পৃথিৱীৰ,N
,আদিমতম,ADJ
,যুগৰপৰা,N
,পুঞ্জীভূত,ADJ
,হৈ,V
,থকা,V
,সমস্ত,ADJ
,দুৰ্গন্ধ,ADJ
,।,।
Sentence: 44,পৃথিৱীৰ,N
,আদিমতম,ADJ
,যুগৰপৰা,N
,পুঞ্জীভূত,ADJ
,হৈ,V
,থকা,V
,সমস্ত,ADJ
,দুৰ্গন্ধ,ADJ
,।,।
Sentence: 45,এই,PR
,দুৰ্গন্ধৰপৰা,ADJ
,এতিয়া,ADV
,নিবৃত্তি,N
,অলপ,ADJ
,সময়,N
,কমলৰ,N
,চকুলৈ,N
,চাই,V
,ৰয়,V
,তাৰ,PR
,পিছত,ADJ
,হাতৰ,N
,চিলিমটো,N
,কমললৈ,N
,আগবঢ়াই,V
,দিয়ে,V
,হোঁ,CON
,",",","
,এক,ADJ
,টান,N
,মাৰিবি,V
,নেকি,CON
,?,?
Sentence: 46,কমল,N
,:,:
,নালাগে,V
,",",","
,কিতাপখনৰ,N
,আৰু,CON
,দুটামান,ADJ
,অধ্যায়,N
,বাকী,ADJ
,আছে,V
,",",","
,শেষ,ADJ
,কৰি,V
,পেলাওঁ,V
,।,।
Sentence: 47,কিতাপ,N
,পঢ়িবলৈ,V
,বহে,V
,নবীন,N
,:,:
,তহঁতৰ,PR
,কোনোবাই,PR
,টানিবি,V
,নেকি,CON
Sentence: 48,নলিনী,N
,:,:
,গাঞ্জা,N
,টানি,V
,এতিয়া,ADV
,মূৰটো,N
,ঢিলা,ADJ
,কৰিব,V
,নোৱাৰোঁ,V
,ইয়েৰ,N
,এণ্ডিঙৰ,N
,টেক্সৰ,N
,হিচাপখিনি,N
,শেষ,ADJ
,কৰাত,V
,আছোঁ,V
,ভাগ্য,N
,ভাল,ADJ
,কাগজবোৰ,N
,লগতে,PREP
,আছিল,V
Sentence: 49,নবীন,N
,:,:
,হেৰ,INT
,",",","
,সমাজ,N
,বিপ্লৱী,N
,টানিবি,V
,নেকি,CON
,?,?
Sentence: 50,ধীৰেনে,N
,মূৰ,N
,জোকাৰে,V
,আৰু,CON
,হাতৰ,N
,ৰিভলভাৰটো,N
,চাফা,ADJ
,কৰি,V
,থাকে,V
,বাৰু,CON
,তেন্তে,ADV
,ময়ে,N
,টানো,V
,।,।
Sentence: 51,মাল,N
,আৰু,CON
,বেছি,ADJ
,নায়ো,V
,শেষ,ADJ
,হৈ,V
,আহিছে,V
,।,।
Sentence: 52,যেনে-তেনে,ADV
,তিনি-চাৰি,ADJ
,ঘণ্টা,N
,পাৰ,N
,হʼলেই,ADJ
,হʼল,V
,।,।
Sentence: 53,ঘড়ী,N
,চাই,V
,আঠ,ADJ
,বাজিছে,V
,।,।
Sentence: 54,এ,CON
,অলপ,ADJ
,পিছতে,ADJ
,নাইট শ্ব,N
,আৰম্ভ,N
,হʼব,V
,",",","
,শ্ব,N
,শেষ,ADJ
,হʼলে,V
,",",","
,চিনেমাৰ,N
,মানুহখিনি,N
,পাৰ,N
,হৈ,V
,গʼলেই,V
,আমি,PR
,আৰম্ভ,N
,কৰিব,V
,পাৰিম,V
,।,।
Sentence: 55,ঐ,CON
,নলিনী,N
,বিৰলাৰ,N
,",",","
,বৰপুত্ৰ,N
,।,।
Sentence: 56,কি,CON
,?,?
Sentence: 57,তোৰ,PR
,লাইফ,N
,ইন্সিওৰেঞ্চৰ,N
,ইনকাম,N
,টেক্সৰ,N
,কাগজবোৰ,N
,থচোন,V
,।,।
Sentence: 58,তোৰ,PR
,হাতত,N
,পইচা,N
,আছে,V
,নহয়,V
,?,?
Sentence: 59,আছে,V
,।,।
Sentence: 60,ভজা,N
,বাদাম,N
,চানাচুৰকে,N
,অলপ,ADJ
,কিনি,V
,আনচোন,V
,।,।
Sentence: 61,কিবাকিবি,PR
,চোবাই,V
,থাকোঁ,V
,।,।
Sentence: 62,সেইটো,PR
,চানাচুৰৱালা,N
,।,।
Sentence: 63,সেইফালে,PR
,যোৱাটো,V
,ঠিক,ADJ
,হʼব,V
,জানো,CON
,?,?
Sentence: 64,একো,ADJ
,নহয়,V
,যা,V
,",",","
,সেইফালে,PR
,আন্ধাৰ,N
,হৈ,V
,আছে,V
,।,।
Sentence: 65,নলিনী,N
,দৰ্শকৰ,N
,একাষত,ADJ
,থকা,V
,চানাচুৰৱালাৰ,N
,পিনে,ADV
,যায়,V
,",",","
,নবীনে,N
,চিলিমত,N
,গাঞ্জা,N
,টানে,V
,।,।
Sentence: 66,মাত্ৰ,ADJ
,এঘণ্টাৰ,N
,কাৰণে,CON
,আজি,PR
,পুৱা,N
,বেলিটো,N
,কাষলতিৰ,N
,তলত,PREP
,সুমাই,V
,থʼব,V
,পৰা,PREP
,হʼলে,V
,।,।
Sentence: 67,আগুৱাই,V
,আহি,V
,নাইবা,CON
,মহাকালৰ,N
,বুকুত,N
,অতি,ADJ
,পাৰ্থিৱ,N
,দুৰ্যোগৰ,N
,সৃষ্টি,N
,হৈ,V
,অলপ,ADJ
,সময়ৰ,N
,কাৰণে,CON
,পৃথিৱীখনক,N
,অন্ধকাৰে,ADJ
,আচ্ছন্ন,ADJ
,কৰি,V
,পেলোৱা,V
,হʼলে,V
,।,।
Sentence: 68,নাইবা,CON
,মানুহজনীৰ,N
,মৃত্যু,N
,আৰু,CON
,এঘণ্টাৰ,N
,আগতে,N
,হৈ,V
,যোৱা,V
,হʼলে,V
,।,।
Sentence: 69,নাইবা,CON
,এক,ADJ
,ৰহস্যময়,ADV
,মায়াচ্ছন্ন,ADJ
,পৰিৱেশত,N
,এই,PR
,নৰ্থ,N
,ব্ৰুক,N
,গেট,N
,পাৰ্কখন,N
,অলপ,ADJ
,সময়লৈকে,N
,জনশূন্য,ADJ
,হৈ,V
,পৰা,PREP
,হʼলে,V
,",",","
,নাইবা,CON
,আমি,PR
,চাৰিটা,ADJ
,অদেহী,ADJ
,অদৃশ্যমান,ADJ
,শক্তিলৈ,N
,ৰূপান্তৰিত,ADJ
,হʼব,V
,পৰা,V
,হʼলে,V
,!,!
Sentence: 70,বাদাম,N
,ভজাৰ,N
,টোপোলা,N
,লৈ,V
,মধ্যম,ADJ
,মঞ্চত,N
,উঠি,V
,নাইবা,CON
,আমি,PR
,এতিয়া,ADV
,বাদাম,N
,ভজা,N
,খাব,V
,পৰা,PREP
,হʼলে,V
,!,!
Sentence: 71,দে,V
,",",","
,টোপোলাটো,N
,দে,V
,টোপোলাটো,N
,হাতত,N
,লৈ,V
,ৰ,V
,",",","
,ময়ে,PR
,ভগাই,V
,দিওঁ,V
,!,!
Sentence: 72,টোপোলা,N
,খোলে,V
,",",","
,আহ,INT
,",",","
,এসোপা,PR
,আনিলি.,V
,!,!
Sentence: 73,বহুত,ADJ
,সময়,N
,ধৰি,N
,খাব,V
,পাৰিম,V
,!,!
Sentence: 74,হোঁ,CON
,হোঁ,CON
,কমল,N
,নলিনী,N
,ধীৰেন,N
,বাদামকে,N
,খাই,V
,থাকোঁ,V
,!,!
Sentence: 75,নবীনৰপৰা,N
,বাদাম,N
,হাতত,N
,লৈ,V
,বাদাম,N
,খাই খাই,ADV
,যাৰ,PR
,যি,PR
,ইচ্ছা,N
,এতিয়া,ADV
,কৰি,V
,থাক,V
,আৰু,CON
,দুই-তিনি,ADJ
,ঘণ্টা,N
,সময়,N
,যাব,V
,বাদাম,N
,খাই খাই,ADV
,কাপোৰৰ,N
,ভিতৰত,PREP
,বন্দুকটো,N
,লৈ,V
,মধ্যম,ADJ
,মঞ্চৰ,N
,ভিতৰৰ,PREP
,পিনে,ADV
,তললৈ,ADJ
,নামি,V
,যায়,V
,আৰু,CON
,দৰ্শকৰপৰা,N
,অদৃশ্য,ADJ
,হৈ,V
,পৰে,V
,।,।
Sentence: 76,নামি,V
,যাওঁতে,V
,পূৰ্বৰ,ADJ
,দৰে,ADJ
,তলৰ,N
,একাষলৈ,ADJ
,নিৰীক্ষণ,N
,কৰি,N
,নামি,V
,যায়,V
,।,।
Sentence: 77,নবীনৰ,N
,হাতৰপৰা,N
,বাদাম,N
,লৈ,V
,কাটি,V
,যাব,V
,আৰু,CON
,এইখিনি,PR
,সময়হে,N
,পৰ্টফলিঅʼ,N
,বেগটো,N
,হাতত,N
,লৈ,V
,মধ্যম,ADJ
,মঞ্চৰ,N
,তললৈ,ADJ
,ধীৰেনৰ,N
,দৰে,ADJ
,নামি,V
,যায়,V
,।,।
Sentence: 78,নবীনৰ,N
,হাতৰপৰা,N
,বাদাম,N
,লৈ,V
,গোটেই,ADJ
,দিনটো,N
,কটালোঁৱেই,V
,।,।
Sentence: 79,বাদাম,N
,আৰু,CON
,গ্ৰন্থকেইখন,N
,লৈ,V
,মধ্যম,ADJ
,মঞ্চৰ,N
,তললৈ,ADJ
,আগৰ,N
,দুজনৰ,ADJ
,দৰে,ADJ
,নামি,V
,যায়,V
,।,।
Sentence: 80,বাদাম,N
,আৰু,CON
,গাঞ্জাৰ,N
,মোনাটো,N
,লৈ,V
,আৰু,CON
,অলপ,ADJ
,সময়ৰ,N
,পিছত,ADJ
,আমি,PR
,কাম,N
,আৰম্ভ,N
,কৰিব,V
,পাৰিম,V
,।,।
Sentence: 81,আৰম্ভ,N
,হʼলে,V
,শেষ,ADJ
,হʼব,V
,তৎক্ষণাৎ,ADV
Sentence: 82,মধ্যম,ADJ
,মঞ্চৰ,N
,তললৈ,ADJ
,আগৰকেইজনৰ,ADJ
,দৰে,ADJ
,নামি,V
,যায়,V
,।,।
Sentence: 83,অলপ,ADJ
,নীৰৱতাৰ,ADJ
,পিছত,ADJ
,চতুৰ্থ,ADJ
,মঞ্চলৈ,N
,উঠি,V
,আহে,V
,আৰু,CON
,গহীন,ADJ
,স্বৰত,N
,কয়,V
,একমাত্ৰ,ADJ
,বৃত্তিধাৰী,N
,বিপ্লৱীৰ,N
,দলটোৱে,N
,বুৰ্জোৱা,N
,প্ৰভাৱৰপৰা,N
,শ্ৰমিকক,N
,ৰক্ষা,N
,কৰিব,V
,পাৰিব,V
,আৰু,CON
,সমাজৰ,N
,পৰিৱৰ্তন,N
,হʼব,V
,।,।
Sentence: 84,আমাক,PR
,লাগে,V
,এটা,ADJ
,সুসংবদ্ধ,ADJ
,দল,N
,",",","
,এদল,ADJ
,বৃত্তিধাৰী,N
,বিপ্লৱী,N
,",",","
,কট্‌কটীয়া,ADJ
,শৃংখলা,N
,আৰু,CON
,আপোচবিহীন,N
